2025-07-09 15:19:21 - Result: SAME PERSON, Distance: 0.0472, Success: True
2025-07-09 15:19:35 - Result: SAME PERSON, Distance: 0.0459, Success: True
2025-07-09 15:20:16 - Result: SAME PERSON, Distance: 0.0946, Success: True
2025-07-09 15:25:31 - Result: SAME PERSON, Distance: 0.0837, Success: True
2025-07-09 15:25:34 - Result: SAME PERSON, Distance: 0.1728, Success: True
2025-07-09 15:39:54 - Result: SAME PERSON, Distance: 0.1447, Success: True
2025-07-09 15:39:59 - Result: DIFFERENT PERSON, Distance: 0.2771, Success: True
2025-07-09 15:40:03 - Result: SAME PERSON, Distance: 0.1587, Success: True
2025-07-09 15:40:06 - Result: SAME PERSON, Distance: 0.1899, Success: True
2025-07-09 15:40:12 - Result: DIFFERENT PERSON, Distance: 0.3203, Success: True
2025-07-09 15:40:15 - Result: SAME PERSON, Distance: 0.1472, Success: True
2025-07-09 15:41:04 - Result: DIFFERENT PERSON, Distance: 0.6813, Success: True
2025-07-09 15:41:08 - Result: DIFFERENT PERSON, Distance: 0.7493, Success: True
2025-07-09 15:50:58 - Result: SAME PERSON, Distance: 0.0424, Success: True
2025-07-09 15:51:02 - Result: DIFFERENT PERSON, Distance: 0.5771, Success: True
2025-07-09 15:51:04 - Result: SAME PERSON, Distance: 0.0572, Success: True
2025-07-09 15:51:08 - Result: SAME PERSON, Distance: 0.0515, Success: True
2025-07-09 15:51:10 - Result: DIFFERENT PERSON, Distance: 0.4506, Success: True
2025-07-09 15:51:11 - Result: DIFFERENT PERSON, Distance: 0.4439, Success: True
2025-07-09 15:51:13 - Result: DIFFERENT PERSON, Distance: 0.4483, Success: True
2025-07-09 15:51:15 - Result: SAME PERSON, Distance: 0.0580, Success: True
2025-07-09 16:02:16 - Result: SAME PERSON, Distance: 0.1701, Success: True
2025-07-09 16:02:20 - Result: SAME PERSON, Distance: 0.1859, Success: True
2025-07-09 16:02:36 - Result: SAME PERSON, Distance: 0.0902, Success: True
2025-07-09 16:03:01 - Result: SAME PERSON, Distance: 0.1672, Success: True
2025-07-09 16:03:06 - Result: SAME PERSON, Distance: 0.1605, Success: True
